Measurement,Value,Timestamp,Line,Time
state,idle,2022-07-01 00:00:00.000000,line_1,0.89218765
bad_count,1,2022-07-01 00:00:00.000000,line_2,6.932149233333333
good_count,21,2022-07-01 00:00:00.000000,line_2,6.932149233333333
state,normal,2022-07-01 00:00:00.000000,line_2,6.932149233333333
state,idle,2022-07-01 00:00:53.531259,line_1,1.4096000833333333
state,idle,2022-07-01 00:02:18.107264,line_1,1.3240966
good_count,37,2022-07-01 00:03:37.553060,line_1,12.179596566666667
bad_count,1,2022-07-01 00:03:37.553060,line_1,12.179596566666667
state,normal,2022-07-01 00:03:37.553060,line_1,12.179596566666667
state,idle,2022-07-01 00:06:55.928954,line_2,0.6033522333333334
state,idle,2022-07-01 00:07:32.130088,line_2,1.1016274333333334
state,normal,2022-07-01 00:08:38.227734,line_2,14.268205916666666
bad_count,2,2022-07-01 00:08:38.227734,line_2,14.268205916666666
good_count,36,2022-07-01 00:08:38.227734,line_2,14.268205916666666
state,idle,2022-07-01 00:15:48.328854,line_1,0.6976801666666667
state,idle,2022-07-01 00:16:30.189664,line_1,0.7629069666666666
good_count,18,2022-07-01 00:17:15.964082,line_1,6.3472604666666665
state,normal,2022-07-01 00:17:15.964082,line_1,6.3472604666666665
bad_count,0,2022-07-01 00:17:15.964082,line_1,6.3472604666666665
bad_count,2,2022-07-01 00:22:54.320089,line_2,11.982966233333334
good_count,36,2022-07-01 00:22:54.320089,line_2,11.982966233333334
state,normal,2022-07-01 00:22:54.320089,line_2,11.982966233333334
state,normal,2022-07-01 00:23:36.799710,line_1,5.8124929
good_count,20,2022-07-01 00:23:36.799710,line_1,5.8124929
bad_count,0,2022-07-01 00:23:36.799710,line_1,5.8124929
state,idle,2022-07-01 00:29:25.549284,line_1,1.23673715
bad_count,1,2022-07-01 00:30:39.753513,line_1,14.820646016666666
good_count,44,2022-07-01 00:30:39.753513,line_1,14.820646016666666
state,normal,2022-07-01 00:30:39.753513,line_1,14.820646016666666
state,normal,2022-07-01 00:34:53.298063,line_2,12.001160283333332
bad_count,1,2022-07-01 00:34:53.298063,line_2,12.001160283333332
good_count,19,2022-07-01 00:34:53.298063,line_2,12.001160283333332
bad_count,0,2022-07-01 00:45:28.992274,line_1,6.682509133333334
state,normal,2022-07-01 00:45:28.992274,line_1,6.682509133333334
good_count,22,2022-07-01 00:45:28.992274,line_1,6.682509133333334
state,idle,2022-07-01 00:46:53.367680,line_2,0.9621016
state,normal,2022-07-01 00:47:51.093776,line_2,12.817063033333334
good_count,39,2022-07-01 00:47:51.093776,line_2,12.817063033333334
bad_count,2,2022-07-01 00:47:51.093776,line_2,12.817063033333334
state,idle,2022-07-01 00:52:09.942822,line_1,1.0984807333333333
good_count,34,2022-07-01 00:53:15.851666,line_1,9.96401155
bad_count,1,2022-07-01 00:53:15.851666,line_1,9.96401155
state,normal,2022-07-01 00:53:15.851666,line_1,9.96401155
state,idle,2022-07-01 01:00:40.117558,line_2,0.9125801
state,normal,2022-07-01 01:01:34.872364,line_2,6.9377220500000005
good_count,18,2022-07-01 01:01:34.872364,line_2,6.9377220500000005
bad_count,1,2022-07-01 01:01:34.872364,line_2,6.9377220500000005
state,idle,2022-07-01 01:03:13.692359,line_1,1.40185
state,idle,2022-07-01 01:04:37.803359,line_1,0.7931331166666666
state,normal,2022-07-01 01:05:25.391346,line_1,6.21868655
bad_count,1,2022-07-01 01:05:25.391346,line_1,6.21868655
good_count,22,2022-07-01 01:05:25.391346,line_1,6.21868655
state,idle,2022-07-01 01:08:31.135687,line_2,0.5571733666666667
bad_count,1,2022-07-01 01:09:04.566089,line_2,11.19199375
good_count,24,2022-07-01 01:09:04.566089,line_2,11.19199375
state,normal,2022-07-01 01:09:04.566089,line_2,11.19199375
good_count,52,2022-07-01 01:11:38.512539,line_1,14.077182050000001
state,normal,2022-07-01 01:11:38.512539,line_1,14.077182050000001
bad_count,1,2022-07-01 01:11:38.512539,line_1,14.077182050000001
state,idle,2022-07-01 01:20:16.085714,line_2,0.6674627999999999
state,idle,2022-07-01 01:20:56.133482,line_2,1.3885789499999999
state,normal,2022-07-01 01:22:19.448219,line_2,10.2338731
good_count,25,2022-07-01 01:22:19.448219,line_2,10.2338731
bad_count,1,2022-07-01 01:22:19.448219,line_2,10.2338731
bad_count,1,2022-07-01 01:25:43.143462,line_1,9.430386083333334
good_count,34,2022-07-01 01:25:43.143462,line_1,9.430386083333334
state,normal,2022-07-01 01:25:43.143462,line_1,9.430386083333334
state,idle,2022-07-01 01:32:33.480605,line_2,1.36651615
state,idle,2022-07-01 01:33:55.471574,line_2,1.2884878666666668
state,normal,2022-07-01 01:35:08.966627,line_1,12.559935450000001
good_count,50,2022-07-01 01:35:08.966627,line_1,12.559935450000001
bad_count,1,2022-07-01 01:35:08.966627,line_1,12.559935450000001
state,normal,2022-07-01 01:35:12.780846,line_2,13.949268166666666
good_count,49,2022-07-01 01:35:12.780846,line_2,13.949268166666666
bad_count,2,2022-07-01 01:35:12.780846,line_2,13.949268166666666
state,idle,2022-07-01 01:47:42.562754,line_1,0.6949001833333334
state,idle,2022-07-01 01:48:24.256765,line_1,0.62816535
bad_count,1,2022-07-01 01:49:01.946686,line_1,12.791280050000001
good_count,46,2022-07-01 01:49:01.946686,line_1,12.791280050000001
state,normal,2022-07-01 01:49:01.946686,line_1,12.791280050000001
state,normal,2022-07-01 01:49:09.736936,line_2,10.686234783333333
good_count,23,2022-07-01 01:49:09.736936,line_2,10.686234783333333
bad_count,1,2022-07-01 01:49:09.736936,line_2,10.686234783333333
state,idle,2022-07-01 01:59:50.911023,line_2,0.99366215
state,normal,2022-07-01 02:00:50.530752,line_2,9.757303316666668
good_count,18,2022-07-01 02:00:50.530752,line_2,9.757303316666668
bad_count,1,2022-07-01 02:00:50.530752,line_2,9.757303316666668
state,idle,2022-07-01 02:01:49.423489,line_1,0.9103906666666667
state,idle,2022-07-01 02:02:44.046929,line_1,1.3886197
good_count,41,2022-07-01 02:04:07.364111,line_1,13.814045700000001
bad_count,1,2022-07-01 02:04:07.364111,line_1,13.814045700000001
state,normal,2022-07-01 02:04:07.364111,line_1,13.814045700000001
state,normal,2022-07-01 02:10:35.968951,line_2,14.8946809
good_count,49,2022-07-01 02:10:35.968951,line_2,14.8946809
bad_count,3,2022-07-01 02:10:35.968951,line_2,14.8946809
state,idle,2022-07-01 02:17:56.206853,line_1,1.4407180833333333
state,idle,2022-07-01 02:19:22.649938,line_1,1.1283729166666667
state,idle,2022-07-01 02:20:30.352313,line_1,0.9784832166666667
state,idle,2022-07-01 02:21:29.061306,line_1,0.5755512833333333
state,idle,2022-07-01 02:22:03.594383,line_1,0.6946576
state,idle,2022-07-01 02:22:45.273839,line_1,1.0850717833333334
state,idle,2022-07-01 02:23:50.378146,line_1,0.7943259666666667
state,idle,2022-07-01 02:24:38.037704,line_1,0.8338808166666667
state,idle,2022-07-01 02:25:28.070553,line_1,0.9937219
state,normal,2022-07-01 02:25:29.649805,line_2,9.35146795
good_count,23,2022-07-01 02:25:29.649805,line_2,9.35146795
bad_count,1,2022-07-01 02:25:29.649805,line_2,9.35146795
state,idle,2022-07-01 02:26:27.693867,line_1,0.6090484333333334
state,idle,2022-07-01 02:27:04.236773,line_1,0.71824655
state,idle,2022-07-01 02:27:47.331566,line_1,1.2755594666666668
state,normal,2022-07-01 02:29:03.865134,line_1,7.011491550000001
good_count,14,2022-07-01 02:29:03.865134,line_1,7.011491550000001
bad_count,0,2022-07-01 02:29:03.865134,line_1,7.011491550000001
bad_count,2,2022-07-01 02:34:50.737882,line_2,9.589618083333333
good_count,26,2022-07-01 02:34:50.737882,line_2,9.589618083333333
state,normal,2022-07-01 02:34:50.737882,line_2,9.589618083333333
state,idle,2022-07-01 02:36:04.554627,line_1,1.3308248666666667
state,idle,2022-07-01 02:37:24.404119,line_1,1.3260167333333333
state,idle,2022-07-01 02:38:43.965123,line_1,1.1225141333333333
state,idle,2022-07-01 02:39:51.315971,line_1,0.7720164500000001
bad_count,0,2022-07-01 02:40:37.636958,line_1,6.216391366666667
good_count,22,2022-07-01 02:40:37.636958,line_1,6.216391366666667
state,normal,2022-07-01 02:40:37.636958,line_1,6.216391366666667
state,idle,2022-07-01 02:44:26.114967,line_2,0.7321922666666667
state,normal,2022-07-01 02:45:10.046503,line_2,7.7381695666666666
bad_count,2,2022-07-01 02:45:10.046503,line_2,7.7381695666666666
